Word1,Word2,GloVe Cosine Similarity
colonoscopy,insertion,0.085630745
colonoscopy,stent,0.18743947
colonoscopy,lumbar,0.36858594
colonoscopy,endoscopy,0.528813
colonoscopy,intubation,0.34878802
colonoscopy,dialysis,0.19938698
colonoscopy,pacemaker,0.12720631
colonoscopy,hysterectomy,0.4937079
colonoscopy,cataract,0.29027233
colonoscopy,bypass,0.23012236
colonoscopy,thoracentesis,0.21999414
colonoscopy,biopsy,0.5168323
colonoscopy,scan,0.48315492
colonoscopy,colonoscopy,0.99999994
protein,protein,1.0
protein,thyroid,-0.08411719
protein,lipid,0.30213282
protein,acid,0.038846463
protein,bilirubin,0.83020645
protein,gas,-0.100859046
protein,test,0.12549385
protein,count,0.25366515
protein,kidney,-0.1508555
protein,panel,0.25435698
protein,complete,0.14489825
protein,coagulation,0.053308126
protein,lactic,0.27955166
protein,glucose,0.7072657
thyroid,protein,-0.08411719
thyroid,thyroid,0.99999994
thyroid,lipid,0.034669437
thyroid,acid,0.14100155
thyroid,bilirubin,-0.08597915
thyroid,gas,-0.19601579
thyroid,test,0.21791475
thyroid,count,-0.15684077
thyroid,kidney,0.41667506
thyroid,panel,0.14298636
thyroid,complete,0.056933038
thyroid,coagulation,0.2845032
thyroid,lactic,-0.04658269
thyroid,glucose,0.033487715
lipid,protein,0.30213282
lipid,thyroid,0.034669437
lipid,lipid,1.0000001
lipid,acid,-0.1548636
lipid,bilirubin,0.34270343
lipid,gas,-0.16192167
lipid,test,0.00063838426
lipid,count,-0.021338059
lipid,kidney,-0.18290925
lipid,panel,0.49031174
lipid,complete,-0.08781651
lipid,coagulation,0.1321835
lipid,lactic,0.16116631
lipid,glucose,0.24417429
acid,protein,0.038846463
acid,thyroid,0.14100155
acid,lipid,-0.1548636
acid,acid,0.9999999
acid,bilirubin,-0.030309562
acid,gas,0.09892097
acid,test,0.18269974
acid,count,0.14138286
acid,kidney,0.00708149
acid,panel,0.015404692
acid,complete,0.3955126
acid,coagulation,0.18089896
acid,lactic,-0.10109548
acid,glucose,0.096072726
bilirubin,protein,0.83020645
bilirubin,thyroid,-0.08597915
bilirubin,lipid,0.34270343
bilirubin,acid,-0.030309562
bilirubin,bilirubin,1.0
bilirubin,gas,-0.018342905
bilirubin,test,-0.010978789
bilirubin,count,0.1768079
bilirubin,kidney,-0.09043623
bilirubin,panel,0.2164776
bilirubin,complete,0.04080268
bilirubin,coagulation,-0.10125708
bilirubin,lactic,0.27277014
bilirubin,glucose,0.68257296
gas,protein,-0.100859046
gas,thyroid,-0.19601579
gas,lipid,-0.16192167
gas,acid,0.09892097
gas,bilirubin,-0.018342905
gas,gas,1.0
gas,test,0.02372058
gas,count,0.04196989
gas,kidney,0.055003934
gas,panel,-0.06961287
gas,complete,0.22399946
gas,coagulation,-0.106243074
gas,lactic,0.05704517
gas,glucose,-0.06007958
test,protein,0.12549385
test,thyroid,0.21791475
test,lipid,0.00063838426
test,acid,0.18269974
test,bilirubin,-0.010978789
test,gas,0.02372058
test,test,1.0000001
test,count,0.18380475
test,kidney,-0.047986835
test,panel,0.20221129
test,complete,0.009013204
test,coagulation,0.22169721
test,lactic,0.0012030915
test,glucose,0.17077306
count,protein,0.25366515
count,thyroid,-0.15684077
count,lipid,-0.021338059
count,acid,0.14138286
count,bilirubin,0.1768079
count,gas,0.04196989
count,test,0.18380475
count,count,0.9999999
count,kidney,-0.09320468
count,panel,0.3175157
count,complete,0.10974914
count,coagulation,0.10307265
count,lactic,-0.29456446
count,glucose,0.55571353
kidney,protein,-0.1508555
kidney,thyroid,0.41667506
kidney,lipid,-0.18290925
kidney,acid,0.00708149
kidney,bilirubin,-0.09043623
kidney,gas,0.055003934
kidney,test,-0.047986835
kidney,count,-0.09320468
kidney,kidney,0.99999994
kidney,panel,0.007964918
kidney,complete,0.21823078
kidney,coagulation,-0.11621113
kidney,lactic,-0.02136565
kidney,glucose,-0.13399036
panel,protein,0.25435698
panel,thyroid,0.14298636
panel,lipid,0.49031174
panel,acid,0.015404692
panel,bilirubin,0.2164776
panel,gas,-0.06961287
panel,test,0.20221129
panel,count,0.3175157
panel,kidney,0.007964918
panel,panel,1.0000001
panel,complete,0.026515193
panel,coagulation,0.1947485
panel,lactic,0.07539935
panel,glucose,0.31633642
complete,protein,0.14489825
complete,thyroid,0.056933038
complete,lipid,-0.08781651
complete,acid,0.3955126
complete,bilirubin,0.04080268
complete,gas,0.22399946
complete,test,0.009013204
complete,count,0.10974914
complete,kidney,0.21823078
complete,panel,0.026515193
complete,complete,0.99999994
complete,coagulation,0.027251659
complete,lactic,-0.19865136
complete,glucose,0.033751354
coagulation,protein,0.053308126
coagulation,thyroid,0.2845032
coagulation,lipid,0.1321835
coagulation,acid,0.18089896
coagulation,bilirubin,-0.10125708
coagulation,gas,-0.106243074
coagulation,test,0.22169721
coagulation,count,0.10307265
coagulation,kidney,-0.11621113
coagulation,panel,0.1947485
coagulation,complete,0.027251659
coagulation,coagulation,1.0
coagulation,lactic,0.017735112
coagulation,glucose,0.15513529
lactic,protein,0.27955166
lactic,thyroid,-0.04658269
lactic,lipid,0.16116631
lactic,acid,-0.10109548
